layer,unit,description,similarity
avgpool,442,racing,0.4326477
avgpool,443,juvenile,0.26745605
avgpool,444,fluffy,0.28793335
avgpool,445,auditorium,0.581604
avgpool,446,fruits,0.27075195
avgpool,447,alps,0.26208496
avgpool,448,courts,0.31933594
avgpool,449,escherichia,0.16351318
avgpool,450,bamboo,0.23220825
avgpool,451,corrosion,0.1730957
avgpool,452,condemned,0.24346924
avgpool,453,baxter,0.19277954
avgpool,454,shelving,0.2677307
avgpool,455,dotted,0.17739868
avgpool,456,canal,0.3781128
avgpool,457,kitchen,0.6494446
avgpool,458,cockpit,0.36395264
avgpool,459,kitchen,0.6107483
avgpool,460,stair,0.31393433
avgpool,461,stainless,0.19995117
avgpool,462,porch,0.247406
avgpool,463,downhill,0.17544556
avgpool,464,restaurant,0.25445557
avgpool,465,baseball,0.19708252
avgpool,466,texture,0.15274048
avgpool,467,kitchen,0.5880127
avgpool,468,organ,0.49554443
avgpool,469,grounds,0.24194336
avgpool,470,kiosk,0.12124634
avgpool,471,exercising,0.18057251
avgpool,472,texture,0.1769104
avgpool,473,dog,0.3765869
avgpool,474,harbor,0.2824402
avgpool,475,chef,0.2295227
avgpool,476,dog,0.23468018
avgpool,477,jacuzzi,0.49691772
avgpool,478,cellar,0.3394165
avgpool,479,kitchens,0.5386658
avgpool,480,bathroom,0.44403076
avgpool,481,exhibits,0.43460083
avgpool,482,knots,0.1512146
avgpool,483,grille,0.28030396
avgpool,484,condemned,0.2663269
avgpool,485,culinary,0.3163452
avgpool,486,stairs,0.5629883
avgpool,487,buses,0.82214355
avgpool,488,ceiling,0.315979
avgpool,489,yummy,0.24560547
avgpool,490,golfers,0.13754272
avgpool,491,soaring,0.24353027
avgpool,492,corridors,0.24438477
avgpool,493,playground,0.45199585
avgpool,494,volleyball,0.42166138
avgpool,495,alps,0.3133545
avgpool,496,sailing,0.3430481
avgpool,497,juvenile,0.34191895
avgpool,498,bathroom,0.48034668
avgpool,499,classrooms,0.69659424
avgpool,500,tent,0.559845
avgpool,501,electronics,0.22988892
avgpool,502,habitat,0.20404053
avgpool,503,kayaking,0.16641235
avgpool,504,diners,0.1769104
avgpool,505,bedrooms,0.34448242
avgpool,506,market,0.27703857
avgpool,507,street,0.44500732
avgpool,508,courtyard,0.35021973
avgpool,509,collier,0.3887024
avgpool,510,watersports,0.1786499
avgpool,511,namibia,0.21179199
avgpool,512,hedge,0.47665405
avgpool,513,classroom,0.2609558
avgpool,514,font,0.25650024
avgpool,515,boat,0.32287598
avgpool,516,campus,0.37979126
avgpool,517,plaque,0.47079468
avgpool,518,porch,0.3211975
avgpool,519,packaging,0.2078247
avgpool,520,aquarium,0.32720947
avgpool,521,garment,0.15551758
avgpool,522,bookshelf,0.18179321
avgpool,523,lobby,0.27859497
avgpool,524,carnival,0.3249817
avgpool,525,fossil,0.20828247
avgpool,526,courthouse,0.2977295
avgpool,527,sprint,0.15679932
avgpool,528,dams,0.2199707
avgpool,529,swings,0.30429077
avgpool,530,female,0.18569946
avgpool,531,interstate,0.3161621
avgpool,532,venue,0.20443726
avgpool,533,vending,0.39105225
avgpool,534,swimwear,0.2428894
avgpool,535,web,0.16348267
avgpool,536,lobby,0.23925781
avgpool,537,vault,0.2713623
avgpool,538,baroque,0.42782593
avgpool,539,lobby,0.1255188
avgpool,540,washers,0.31860352
avgpool,541,jukebox,0.26831055
avgpool,542,marketplace,0.21749878
avgpool,543,cooking,0.3711548
avgpool,544,soaring,0.33538818
avgpool,545,entrance,0.23596191
avgpool,546,buses,0.3876953
avgpool,547,antenna,0.13772583
avgpool,548,aisle,0.34381104
avgpool,549,trains,0.49743652
